wave_nm	int
995.9941406	236
996.6292114	244
997.2642822	227
997.899353	195
998.5344238	215
999.1694946	256
999.8045654	172
1000.439697	206
1001.074768	211
1001.709839	186
1002.34491	249
1002.97998	240
1003.615051	249
1004.250122	226
1004.885193	204
1005.520264	218
1006.155334	201
1006.790405	198
1007.425476	220
1008.060547	257
1008.695679	245
1009.33075	223
1009.96582	213
1010.600891	193
1011.235962	215
1011.871033	218
1012.506104	206
1013.141174	243
1013.776245	242
1014.411316	222
1015.046387	196
1015.681458	237
1016.316589	215
1016.95166	224
1017.586731	260
1018.221802	205
1018.856873	195
1019.491943	198
1020.127014	212
1020.762085	196
1021.397156	163
1022.032227	190
1022.667297	241
1023.302368	220
1023.937439	184
1024.57251	227
1025.207642	244
1025.842651	254
1026.477783	249
1027.112793	260
1027.747925	275
1028.383057	212
1029.018066	216
1029.653198	206
1030.288208	201
1030.92334	191
1031.55835	204
1032.193481	221
1032.828491	184
1033.463623	235
1034.098633	271
1034.733765	264
1035.368774	222
1036.003906	248
1036.639038	203
1037.274048	222
1037.90918	249
1038.544189	201
1039.179321	189
1039.814331	246
1040.449463	281
1041.084473	250
1041.719604	223
1042.354614	231
1042.989746	213
1043.624756	215
1044.259888	220
1044.89502	210
1045.530029	234
1046.165161	242
1046.800171	222
1047.435303	233
1048.070312	232
1048.705444	237
1049.340454	201
1049.975586	256
1050.610596	222
1051.245728	240
1051.880859	235
1052.515869	238
1053.151001	237
1053.786011	261
1054.421143	236
1055.056152	251
1055.691284	212
1056.326294	226
1056.961426	234
1057.596436	228
1058.231567	202
1058.866577	204
1059.501709	248
1060.136841	225
1060.771851	221
1061.406982	189
1062.041992	228
1062.677124	244
1063.312134	207
1063.947266	179
1064.582275	218
1065.217407	173
1065.852417	188
1066.487549	239
1067.122559	206
1067.75769	216
1068.392822	198
1069.027832	196
1069.662964	222
1070.297974	237
1070.933105	244
1071.568115	233
1072.203247	168
1072.838257	233
1073.473389	234
1074.108398	297
1074.74353	406
1075.378662	345
1076.013672	379
1076.648804	452
1077.283813	335
1077.918945	268
1078.553955	287
1079.189087	203
1079.824097	212
1080.459229	210
1081.094238	221
1081.72937	227
1082.36438	226
1082.999512	228
1083.634644	252
1084.269653	295
1084.904785	351
1085.539795	965
1086.174927	1629
1086.809937	896
1087.445068	407
1088.080078	278
1088.71521	270
1089.35022	274
1089.985352	252
1090.620361	271
1091.255493	272
1091.890625	236
1092.525635	220
1093.160767	224
1093.795776	231
1094.430908	260
1095.065918	244
1095.70105	244
1096.33606	205
1096.971191	282
1097.606201	228
1098.241333	244
1098.876465	285
1099.511475	207
1100.146606	208
1100.781616	281
1101.416748	257
1102.051758	226
1102.68689	262
1103.321899	261
1103.957031	279
1104.592041	231
1105.227173	264
1105.862183	268
1106.497314	259
1107.132446	203
1107.767456	251
1108.402588	224
1109.037598	276
1109.672729	239
1110.307739	215
1110.942871	243
1111.577881	264
1112.213013	309
1112.848022	230
1113.483154	251
1114.118164	242
1114.753296	196
